1	12459_k127_568651	2249310	10515	0.224489	species group	3136955:655 
1	12459_k127_81206	1763	13089	0.209794	genus	
0	12459_k127_320233	0	12213	0.0167035	no rank	
1	12459_k127_268461	1763	15246	0.166667	genus	
0	12459_k127_551335	0	13860	0.0703463	no rank	
1	12459_k127_515298	2249310	10317	0.210139	species group	3136955:590 
1	12459_k127_556955	2249310	15666	0.202158	species group	3144515:926 
1	12459_k127_318213	120793	10824	0.21323	species group	3180558:644 
1	12459_k127_174369	2642494	12573	0.313768	no rank	3176346:1035 3176347:1 
1	12459_k127_254445	1763	19572	0.216381	genus	
