seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_564281	348	No terminal repeats	1	11	0.9923	NA	1	1.7183	NA	NA
k127_573942	335	No terminal repeats	1	11	0.9903	NA	1	1.7183	NA	NA
k127_223258	2708	No terminal repeats	7	11	0.9901	NA	0	1.7183	NA	NA
k127_540679	5501	No terminal repeats	6	11	0.9899	NA	0	3.9106	NA	NA
k127_263903	940	No terminal repeats	2	11	0.9884	NA	2	2.8392	MOBQ	NA
k127_800265	1541	No terminal repeats	1	11	0.9876	NA	1	0.9963	NA	NA
k127_868502	2595	No terminal repeats	3	11	0.9871	NA	0	2.6180	NA	NA
k127_777568	573	No terminal repeats	1	11	0.9860	NA	1	1.7183	MOBQ	NA
k127_623384	2660	No terminal repeats	5	11	0.9857	NA	0	1.7183	NA	NA
k127_615982	3213	No terminal repeats	5	11	0.9856	NA	0	1.7833	NA	NA
k127_606061	5167	No terminal repeats	7	11	0.9856	NA	0	0.3187	NA	NA
k127_959144	434	No terminal repeats	2	11	0.9855	NA	1	3.0489	F_traE	NA
k127_605584	4278	No terminal repeats	5	11	0.9853	NA	1	2.1599	NA	NA
k127_422339	4205	No terminal repeats	5	11	0.9851	NA	0	2.9850	NA	NA
k127_119649	2099	No terminal repeats	4	11	0.9851	NA	1	1.3764	NA	NA
k127_64076	569	No terminal repeats	1	11	0.9844	NA	1	1.3764	NA	NA
k127_68402	3853	No terminal repeats	6	11	0.9840	NA	0	3.0370	NA	NA
k127_276654	505	No terminal repeats	1	11	0.9840	NA	1	1.6588	NA	NA
k127_384360	852	No terminal repeats	2	11	0.9836	NA	1	2.7114	F_traE	NA
k127_608227	2873	No terminal repeats	4	11	0.9835	NA	0	1.5111	NA	NA
k127_804871	2140	No terminal repeats	4	11	0.9833	NA	1	1.5793	NA	NA
k127_256068	4405	No terminal repeats	5	11	0.9829	NA	0	1.7183	NA	NA
k127_1029331	931	No terminal repeats	2	11	0.9828	NA	1	3.0489	F_traE	NA
k127_274049	422	No terminal repeats	2	11	0.9825	NA	1	2.8953	F_traE	NA
k127_543658	6076	No terminal repeats	6	11	0.9822	NA	0	3.5609	NA	NA
k127_127546	610	No terminal repeats	1	11	0.9821	NA	1	1.7183	NA	NA
k127_293378	2304	No terminal repeats	4	11	0.9820	NA	1	3.0489	F_traE	NA
k127_525590	2597	No terminal repeats	4	11	0.9813	NA	0	3.4242	NA	NA
k127_334693	761	No terminal repeats	1	11	0.9811	NA	1	0.8949	NA	NA
k127_600968	3088	No terminal repeats	6	11	0.9811	NA	0	1.5828	NA	NA
k127_115033	3070	No terminal repeats	4	11	0.9811	NA	1	4.2772	F_traE	NA
k127_695584	792	No terminal repeats	3	11	0.9809	NA	1	2.8953	F_traE	NA
k127_81061	694	No terminal repeats	1	11	0.9808	NA	1	0.9372	NA	NA
k127_682475	3647	No terminal repeats	5	11	0.9808	NA	0	3.5415	NA	NA
k127_549649	532	No terminal repeats	2	11	0.9806	NA	1	2.7114	F_traE	NA
k127_922748	1219	No terminal repeats	2	11	0.9800	NA	1	0.8949	NA	NA
k127_70092	481	No terminal repeats	1	11	0.9799	NA	1	1.5622	NA	NA
k127_529394	2373	No terminal repeats	4	11	0.9795	NA	1	2.5381	NA	NA
k127_1047722	1119	No terminal repeats	2	11	0.9794	NA	2	2.4158	T_virB10	NA
k127_322928	694	No terminal repeats	1	11	0.9792	NA	1	0.8949	NA	NA
k127_1033819	342	No terminal repeats	1	11	0.9792	NA	1	1.6642	NA	NA
k127_637179	1005	No terminal repeats	1	11	0.9789	NA	1	1.3764	NA	NA
k127_242358	630	No terminal repeats	2	11	0.9789	NA	1	2.5932	F_traE	NA
k127_903118	783	No terminal repeats	1	11	0.9788	NA	1	0.8949	NA	NA
k127_771323	3309	No terminal repeats	5	11	0.9786	NA	0	2.4505	NA	NA
k127_430347	461	No terminal repeats	1	11	0.9779	NA	1	1.4636	F_traE	NA
k127_674654	2816	No terminal repeats	5	11	0.9778	NA	0	2.6180	NA	NA
k127_368493	599	No terminal repeats	1	11	0.9777	NA	1	1.3764	NA	NA
k127_261187	2688	No terminal repeats	3	11	0.9775	NA	0	2.8329	NA	NA
k127_678766	1764	No terminal repeats	2	11	0.9775	NA	1	3.0489	F_traE	NA
k127_683882	374	No terminal repeats	1	11	0.9774	NA	1	1.4636	F_traE	NA
k127_650374	460	No terminal repeats	1	11	0.9774	NA	1	1.2242	MOBP1	NA
k127_121012	3510	No terminal repeats	5	11	0.9774	NA	1	3.4768	F_traE	NA
k127_56071	347	No terminal repeats	1	11	0.9772	NA	1	1.6642	NA	NA
k127_872517	3063	No terminal repeats	4	11	0.9770	NA	0	1.7183	NA	NA
k127_67274	3270	No terminal repeats	3	11	0.9770	NA	0	2.2291	NA	NA
k127_824476	3124	No terminal repeats	6	11	0.9769	NA	0	2.2244	NA	NA
k127_533792	488	No terminal repeats	1	11	0.9766	NA	1	1.4636	F_traE	NA
k127_343053	3255	No terminal repeats	6	11	0.9766	NA	0	2.0046	NA	NA
k127_454159	302	No terminal repeats	1	11	0.9765	NA	1	1.5622	NA	NA
k127_501799	557	No terminal repeats	1	11	0.9764	NA	1	1.4636	F_traE	NA
k127_465282	327	No terminal repeats	1	11	0.9762	NA	1	1.4636	F_traE	NA
k127_237119	340	No terminal repeats	1	11	0.9761	NA	1	1.4636	F_traE	NA
k127_564314	359	No terminal repeats	1	11	0.9754	NA	1	1.4636	F_traE	NA
k127_897683	361	No terminal repeats	1	11	0.9754	NA	1	1.6642	NA	NA
