seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_909067	3975	No terminal repeats	2	11	0.9919	NA	0	1.7183	NA	NA
k127_709088	1345	No terminal repeats	2	11	0.9918	NA	1	2.1599	NA	NA
k127_1198960	1121	No terminal repeats	2	11	0.9917	NA	1	2.1599	NA	NA
k127_1013656	6895	No terminal repeats	8	11	0.9916	NA	0	3.6657	NA	NA
k127_423237	7255	No terminal repeats	11	11	0.9914	NA	0	3.5926	NA	NA
k127_990607	2602	No terminal repeats	5	11	0.9905	NA	0	3.4366	NA	NA
k127_1356942	420	No terminal repeats	1	11	0.9894	NA	1	1.7183	NA	NA
k127_696320	6131	No terminal repeats	12	11	0.9893	NA	0	1.9184	NA	NA
k127_1078413	3290	No terminal repeats	4	11	0.9892	NA	0	0.6458	NA	NA
k127_420201	527	No terminal repeats	2	11	0.9887	NA	1	2.5932	F_traE	NA
k127_1065960	3622	No terminal repeats	4	11	0.9883	NA	0	2.6486	NA	NA
k127_873034	1113	No terminal repeats	2	11	0.9882	NA	1	3.0489	F_traE	NA
k127_165273	2074	No terminal repeats	2	11	0.9878	NA	2	2.8884	MOBP1	NA
k127_714825	4856	No terminal repeats	6	11	0.9877	NA	0	3.2168	NA	NA
k127_318675	1174	No terminal repeats	1	11	0.9867	NA	1	1.6920	MOBQ	NA
k127_618568	709	No terminal repeats	2	11	0.9841	NA	1	3.0489	F_traE	NA
k127_809816	1459	No terminal repeats	1	11	0.9838	NA	1	1.4636	F_traE	NA
k127_1012336	3822	No terminal repeats	3	11	0.9832	NA	0	2.7962	NA	NA
k127_647222	13292	No terminal repeats	11	11	0.9831	NA	0	2.6857	NA	NA
k127_1314636	412	No terminal repeats	1	11	0.9829	NA	1	1.7183	NA	NA
k127_380541	761	No terminal repeats	2	11	0.9826	NA	1	2.6786	F_traE	NA
k127_1024499	1339	No terminal repeats	2	11	0.9824	NA	1	2.5932	F_traE	NA
k127_1190214	965	No terminal repeats	1	11	0.9821	NA	1	1.6920	MOBQ	NA
k127_545853	1171	No terminal repeats	2	11	0.9817	NA	2	2.2876	T_virB10;T_virB9	NA
k127_706238	5787	No terminal repeats	6	11	0.9816	NA	0	1.2893	NA	NA
k127_569190	3521	No terminal repeats	5	11	0.9809	NA	0	2.5669	NA	NA
k127_736144	2455	No terminal repeats	2	11	0.9807	NA	1	2.7114	F_traE	NA
k127_545813	1572	No terminal repeats	2	11	0.9804	NA	1	3.1941	NA	NA
k127_521429	359	No terminal repeats	1	11	0.9803	NA	1	1.5486	NA	NA
k127_446960	739	No terminal repeats	1	11	0.9802	NA	1	1.4636	F_traE	NA
k127_323609	2515	No terminal repeats	5	11	0.9802	NA	1	3.1819	F_traE	NA
k127_1078604	580	No terminal repeats	1	11	0.9799	NA	1	0.9015	NA	NA
k127_18875	391	No terminal repeats	1	11	0.9799	NA	1	1.4636	F_traE	NA
k127_534654	456	No terminal repeats	1	11	0.9794	NA	1	1.4636	F_traE	NA
k127_248575	546	No terminal repeats	1	11	0.9793	NA	1	1.4636	F_traE	NA
k127_688397	361	No terminal repeats	2	11	0.9791	NA	1	2.6786	F_traE	NA
k127_997073	923	No terminal repeats	2	11	0.9790	NA	2	3.0284	NA	NA
k127_1254871	2668	No terminal repeats	4	11	0.9789	NA	0	2.6180	NA	NA
k127_1226509	643	No terminal repeats	1	11	0.9789	NA	1	0.8949	NA	NA
k127_1263985	345	No terminal repeats	1	11	0.9789	NA	1	1.4636	F_traE	NA
k127_43146	784	No terminal repeats	1	11	0.9789	NA	1	0.8949	NA	NA
k127_522216	409	No terminal repeats	1	11	0.9785	NA	1	1.4636	F_traE	NA
k127_405054	345	No terminal repeats	1	11	0.9784	NA	1	1.4636	F_traE	NA
k127_237246	693	No terminal repeats	1	11	0.9782	NA	1	0.9015	NA	NA
k127_864254	350	No terminal repeats	1	11	0.9778	NA	1	1.4636	F_traE	NA
k127_916402	598	No terminal repeats	1	11	0.9777	NA	1	1.4636	F_traE	NA
k127_836081	991	No terminal repeats	1	11	0.9777	NA	1	0.9172	NA	NA
k127_48905	393	No terminal repeats	1	11	0.9776	NA	1	0.9963	NA	NA
k127_397683	355	No terminal repeats	1	11	0.9776	NA	1	1.4636	F_traE	NA
k127_53124	1467	No terminal repeats	1	11	0.9775	NA	1	0.8949	NA	NA
k127_155428	724	No terminal repeats	2	11	0.9773	NA	1	2.8953	F_traE	NA
k127_568562	635	No terminal repeats	1	11	0.9773	NA	1	1.3764	NA	NA
k127_466566	520	No terminal repeats	2	11	0.9772	NA	1	3.0489	F_traE	NA
k127_1002919	1109	No terminal repeats	1	11	0.9771	NA	1	0.8949	NA	NA
k127_715212	553	No terminal repeats	1	11	0.9768	NA	1	1.4636	F_traE	NA
k127_444788	518	No terminal repeats	1	11	0.9765	NA	1	1.4636	F_traE	NA
k127_475163	1883	No terminal repeats	3	11	0.9764	NA	1	1.6920	MOBQ	NA
k127_843967	787	No terminal repeats	2	11	0.9762	NA	1	2.5932	F_traE	NA
k127_102547	326	No terminal repeats	1	11	0.9761	NA	1	1.4636	F_traE	NA
k127_859248	349	No terminal repeats	1	11	0.9759	NA	1	1.3764	NA	NA
k127_305628	2786	No terminal repeats	5	11	0.9758	NA	0	1.6887	NA	NA
k127_681103	459	No terminal repeats	1	11	0.9756	NA	1	1.3764	NA	NA
k127_845641	347	No terminal repeats	1	11	0.9755	NA	1	1.3764	NA	NA
k127_959137	929	No terminal repeats	2	11	0.9754	NA	1	2.7206	F_traE	NA
k127_1174813	2665	No terminal repeats	3	11	0.9748	NA	0	2.8479	NA	NA
k127_210415	405	No terminal repeats	1	11	0.9747	NA	1	1.4636	F_traE	NA
k127_539452	360	No terminal repeats	1	11	0.9747	NA	1	1.4636	F_traE	NA
k127_1284714	361	No terminal repeats	1	11	0.9745	NA	1	1.5486	NA	NA
k127_59339	4440	No terminal repeats	4	11	0.9745	NA	1	2.9928	F_traE	NA
k127_110801	403	No terminal repeats	1	11	0.9743	NA	1	1.4636	F_traE	NA
